variable,label
Q8,'How often wear bicycle helmet'
QN8,'Never/rarely wore bicycle helmet'
Q9,'How often wore a seat belt'
QN9,'Never/rarely wore seat belt'
Q10,'How often ride w/drinking driver 30 days'
QN10,'Rode 1+ times with drinking driver'
Q11,'How often drive while drinking 30 days'
QN11,'Drove 1+ times when drinking'
Q12,'Texted while driving'
QN12,'Texted while driving 1+ times past 30 days'
Q13,'Carried weapon 30 days'
QN13,'Carried weapon 1+ times past 30 days'
Q14,'Carried gun 30 days'
QN14,'Carried gun 1+ past 30 days'
Q15,'Carried weapon at school 30 days'
QN15,'Carried weapon school 1+ past 30 days'
Q16,'How many days feel unsafe@school 30 days'
QN16,'Missed school b/c unsafe 1+ 30 days'
Q17,'How  many times threatened@school 12 mos'
QN17,'Threatened at school 1+ times 12 mos'
Q18,'How many times in fight 12 mos'
QN18,'Fought 1+ times 12 mos'
Q19,'How many times injured in fight 12 mos'
QN19,'Injured/treated 1+ times 12 mos'
Q20,'How many times in fight @ school  12 mos'
QN20,'Fought school 1+ times 12 mos'
Q21,'Have you been forced to have sex'
QN21,'Forced to have sex'
Q22,'Times physically hurt by dates 12 mos'
QN22,'Hurt by date 1+ times past 12 mos'
Q23,'Forced to do sexual things by dates'
QN23,'Forced to do sexual by date past 12 mos'
Q24,'Have you ever been bullied @ school'
QN24,'Bullied past 12 months'
Q25,'Have you ever been electronically bullied'
QN25,'Electronically bullied 12 mos'
Q26,'Ever feel sad or hopeless 12 mos'
QN26,'Sad 2 wks past 12 mos'
Q27,'Ever considered suicide 12 mos'
QN27,'Considered suicide 12 mos'
Q28,'Ever make suicide plan 12 mos'
QN28,'Made suicide plan 12 mos'
Q29,'Ever attempt suicide 12 mos'
QN29,'Attempted suicide 1+ times 12 mos'
Q30,'Ever injured from suicide attempt 12 mos'
QN30,'Suicide attempt w/injury 12 mos'
Q31,'Ever smoked'
QN31,'Ever tried cigarettes'
Q32,'How old when first smoked'
QN32,'Smoked cigarette before 13'
Q33,'How many days smoked 30 days'
QN33,'Smoked 1+ past 30 days'
Q34,'How many cigarettes/day 30 days'
QN34,'10+ cigarettes/day past 30 days'
Q35,'How did you get cigarettes past 30 days'
QN35,'Got cigarettes in store 30 days'
Q36,'How many days smoke @ school 30 days'
QN36,'Smoked at school 1+ past 30 days'
Q37,'Have you ever smoked daily'
QN37,'Smoked daily for 30 days'
Q38,'Tried to quit smoking past 12 months'
QN38,'Among smokers, tried to quit smoking'
Q39,'How many days use snuff past 30 days'
QN39,'Used snuff/dip 1+ past 30 days'
Q40,'How many days smoke cigars 30 days'
QN40,'Smoked cigars 1+ past 30 days'
Q41,'How many days drink alcohol'
QN41,'Had 1 drink on 1+ days in life'
Q42,'How old when first drank alcohol'
QN42,'Had first drink before 13'
Q43,'How many days drink alcohol 30 days'
QN43,'Had 1+ drinks past 30 days'
Q44,'How many days have 5+ drinks 30 days'
QN44,'Five+ drinks 1+ past 30 days'
Q45,'Max # drinks in a row past 30 days'
QN45,'10+ drinks in a row past 30 days'
Q46,'How did you get alcohol past 30 days'
QN46,'Someone gave them alcohol past 30 days'
Q47,'How many times smoke marijuana'
QN47,'Tried marijuana 1+ times in life'
Q48,'How old when first tried marijuana'
QN48,'Tried marijuana before 13'
Q49,'How many times use marijuana 30 days'
QN49,'Used marijuana 1+ times past 30 days'
